"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",11650682
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",15340276
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",215687258
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",11912432
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",649754480
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",61137460
"ADC","ACDC METALS LTD",,"Class Pend",0
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",14284079
"ADG","ADELONG GOLD LIMITED","2007-03-21","Materials",3545495
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",383748810
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",155500422
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",101385258
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",21488380
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",28656529
"ADT","ADRIATIC METALS PLC","2018-05-01","Materials",817739076
"ADV","ARDIDEN LTD","2005-10-25","Materials",24015018
"ADX","ADX ENERGY LTD","1987-01-29","Energy",24535208
"ADY","ADMIRALTY RESOURCES NL.","1983-12-01","Materials",10428633
"AE1","AERISON GROUP LTD","2021-07-12","Capital Goods",59835935
"AEE","AURA ENERGY LIMITED","2006-05-30","Energy",143619276
"AEF","AUSTRALIAN ETHICAL INVESTMENT LIMITED","2002-12-17","Diversified Financials",520352449
"AEI","AERIS ENVIRONMENTAL LTD","2000-09-12","Commercial & Professional Services",9825782
"AER","AEERIS LTD","2015-04-01","Media & Entertainment",8947982
"AEV","AVENIRA LIMITED","2006-10-10","Materials",41786563
"AFA","ASF GROUP LIMITED","1985-05-29","Diversified Financials",39628689
"AFG","AUSTRALIAN FINANCE GROUP LTD","2015-05-22","Banks",494572711
"AFI","AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED","1962-06-30","Not Applic",9217761441
"AFL","AF LEGAL GROUP LTD","2003-09-19","Commercial & Professional Services",9567052
"AFP","AFT PHARMACEUTICALS LIMITED","2015-12-22","Pharmaceuticals, Biotechnology & Life Sciences",360739934
"AFWDA","APPLYFLOW LIMITED","2010-11-30","Media & Entertainment",0
"AGC","AUSTRALIAN GOLD AND COPPER LTD","2021-01-20","Materials",7400000
"AGD","AUSTRAL GOLD LIMITED","1997-04-18","Materials",23880143
"AGE","ALLIGATOR ENERGY LIMITED","2011-02-03","Energy",151950266
"AGG","ANGLOGOLD ASHANTI LIMITED","1999-11-16","Materials",10434367342
"AGH","ALTHEA GROUP HOLDINGS LIMITED","2018-09-21","Pharmaceuticals, Biotechnology & Life Sciences",22990901
"AGI","AINSWORTH GAME TECHNOLOGY LIMITED","2001-12-17","Consumer Services",336793929
"AGL","AGL ENERGY LIMITED.","2006-10-12","Utilities",5341613030
"AGN","ARGENICA THERAPEUTICS LIMITED","2021-06-11","Pharmaceuticals, Biotechnology & Life Sciences",43026514
"AGR","AGUIA RESOURCES LIMITED","2008-02-13","Materials",24458501
"AGY","ARGOSY MINERALS LIMITED","1997-04-03","Materials",884776724
"AHC","AUSTCO HEALTHCARE LIMITED","2004-09-24","Health Care Equipment & Services",28981734
"AHF","AUSTRALIAN DAIRY NUTRITIONALS GROUP","2006-06-30","Food, Beverage & Tobacco",29877240
"AHI","ADVANCED HUMAN IMAGING LTD","2015-08-17","Software & Services",15478943
"AHK","ARK MINES LIMITED","2011-05-09","Materials",11823165
"AHL","ADRAD HOLDINGS LIMITED","2022-09-30","Automobiles & Components",102429926
"AHN","ATHENA RESOURCES LIMITED","2006-11-22","Materials",7834208
"AHQ","ALLEGIANCE COAL LIMITED","2012-05-29","Materials",45967856
"AHX","APIAM ANIMAL HEALTH LIMITED","2015-12-15","Health Care Equipment & Services",119277843
"AIA","AUCKLAND INTERNATIONAL AIRPORT LIMITED","1999-02-22","Transportation",10793799834
"AIB","AURORA GLOBAL INCOME TRUST","2007-12-24","Not Applic","N/A"
"AII","ALMONTY INDUSTRIES INC.","2021-08-02","Materials",170337856
"AIM","AI-MEDIA TECHNOLOGIES LIMITED","2020-09-15","Commercial & Professional Services",76958581
"AIQ","ALTERNATIVE INVESTMENT TRUST","2005-05-08","Not Applic",37994304
"AIS","AERIS RESOURCES LIMITED","2011-02-02","Materials",383474805
"AIV","ACTIVEX LIMITED","2006-04-11","Materials",7129735
"AIZ","AIR NEW ZEALAND LIMITED","1997-10-01","Transportation",2492663594
"AJJ","ASIAN AMERICAN MEDICAL GROUP LIMITED","2007-03-19","Health Care Equipment & Services","N/A"
"AJL","AJ LUCAS GROUP LIMITED","1999-08-10","Capital Goods",49526267
"AJQ","ARMOUR ENERGY LIMITED","2012-04-26","Energy",15809156
"AJX","ALEXIUM INTERNATIONAL GROUP LIMITED","1999-12-22","Materials",12910541
"AJY","ASAPLUS RESOURCES LIMITED","2012-11-16","Materials",2720000
"AKE","ALLKEM LIMITED","2007-12-04","Materials",9335314379
"AKG","ACADEMIES AUSTRALASIA GROUP LIMITED","1977-06-01","Consumer Services",51045787
"AKL","AUCKLAND REAL ESTATE TRUST","2005-09-23","Real Estate",53025819
"AKM","ASPIRE MINING LIMITED","2007-02-06","Materials",41626233
"AKN","AUKING MINING LIMITED","2007-10-29","Materials",11548683
"AKO","AKORA RESOURCES LIMITED","2020-12-15","Materials",12272336
"AKP","AUDIO PIXELS HOLDINGS LIMITED","2004-12-24","Consumer Durables & Apparel",362030218
"AL3","AML3D LIMITED","2020-04-20","Capital Goods",15609264
"AL8","ALDERAN RESOURCES LIMITED","2017-06-09","Materials",4626129
"ALA","AROVELLA THERAPEUTICS LIMITED","2002-01-24","Pharmaceuticals, Biotechnology & Life Sciences",16771270
"ALB","ALBION RESOURCES LIMITED","2021-04-30","Materials",4284000
"ALC","ALCIDION GROUP LIMITED","2011-06-24","Health Care Equipment & Services",196550703
"ALD","AMPOL LIMITED","1980-12-31","Energy",6803524926
"ALG","ARDENT LEISURE GROUP LIMITED","2018-11-30","Consumer Services",278229489
"ALI","ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED","2015-07-03","Not Applic",410113425
"ALK","ALKANE RESOURCES LIMITED","1980-10-07","Materials",377239333
"ALL","ARISTOCRAT LEISURE LIMITED","1996-07-09","Consumer Services",23422637868
"ALM","ALMA METALS LIMITED","2007-04-18","Energy",10968009
"ALO","ALLOGGIO GROUP LIMITED","2021-11-29","Consumer Services",43156955
"ALQ","ALS LIMITED","1952-07-18","Commercial & Professional Services",6018204312
"ALT","ANALYTICA LIMITED","2000-10-25","Health Care Equipment & Services",4613801
"ALU","ALTIUM LIMITED","1999-08-04","Software & Services",4770688431
"ALV","ALVO MINERALS LIMITED","2021-10-20","Materials",12017002
"ALX","ATLAS ARTERIA","2010-01-25","Transportation",10112310938
"ALY","ALCHEMY RESOURCES LIMITED","2007-11-26","Materials",29451906
"AM7","ARCADIA MINERALS LIMITED","2021-06-25","Materials",21802526
"AMA","AMA GROUP LIMITED","2006-08-31","Commercial & Professional Services",268267554
"AMC","AMCOR PLC","1969-08-28","Materials",26787461812
"AMD","ARROW MINERALS LTD","2005-10-28","Materials",9151943
"AME","ALTO METALS LIMITED","2012-12-20","Materials",37094938
"AMH","AMCIL LIMITED","2000-02-10","Not Applic",334638293
"AMI","AURELIA METALS LIMITED","2007-05-08","Materials",148492466
"AML","AEON METALS LIMITED.","2007-06-14","Materials",32204518
"AMM","ARMADA METALS LIMITED","2021-12-15","Materials",7280000
"AMN","AGRIMIN LIMITED","2007-10-09","Materials",100573370
"AMO","AMBERTECH LIMITED","2004-12-10","Technology Hardware & Equipment",31635238
"AMP","AMP LIMITED","1998-06-15","Diversified Financials",4128598747
"AMS","ATOMOS LIMITED","2018-12-28","Consumer Durables & Apparel",42191213
"AMT","ALLEGRA ORTHOPAEDICS LIMITED","2007-12-05","Health Care Equipment & Services",10968216
"AMX","AEROMETREX LIMITED","2019-12-10","Commercial & Professional Services",39648000
"AN1","ANAGENICS LIMITED","2005-12-09","Pharmaceuticals, Biotechnology & Life Sciences",6630639
"AND","ANSARADA GROUP LIMITED","2020-02-14","Software & Services",121943050
"ANG","AUSTIN ENGINEERING LIMITED","2004-03-09","Capital Goods",201252156
"ANL","AMANI GOLD LIMITED","2006-12-14","Materials",23693441
"ANN","ANSELL LIMITED","1985-08-22","Health Care Equipment & Services",3567424378
"ANO","ADVANCE ZINCTEK LIMITED","2005-02-24","Materials",138585733
"ANP","ANTISENSE THERAPEUTICS LIMITED","2001-12-20","Pharmaceuticals, Biotechnology & Life Sciences",66210604
"ANR","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",3282359
"ANRN","ANATARA LIFESCIENCES LTD","2014-10-16","Pharmaceuticals, Biotechnology & Life Sciences",3282359
"ANX","ANAX METALS LIMITED","2004-06-15","Materials",27634848
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED","1969-09-30","Banks",73973152176
"AO1","ASSETOWL LIMITED","2011-05-30","Software & Services",1572130
"AOA","AUSMON RESOURCES LIMITED","2009-03-31","Materials",5899331
"AOF","AUSTRALIAN UNITY OFFICE FUND","2016-06-20","Real Estate",243287487
"AON","APOLLO MINERALS LIMITED","2007-10-31","Materials",24113618
"AOU","AUROCH MINERALS LTD","2011-09-01","Materials",19297814
"APA","APA GROUP","2000-06-13","Utilities",13273805790
"APC","AUSTRALIAN POTASH LIMITED","2011-12-20","Materials",23081729
"APE","EAGERS AUTOMOTIVE LIMITED","1957-04-17","Retailing",3090641549
"APG","AUSTPAC RESOURCES NL","1986-07-24","Materials","N/A"
"APL","ASSOCIATE GLOBAL PARTNERS LIMITED","2004-09-30","Diversified Financials",21210591
"APM","APM HUMAN SERVICES INTERNATIONAL LIMITED","2021-11-12","Commercial & Professional Services",2650655824
"APS","ALLUP SILICA LIMITED","2022-05-02","Materials",7268003
"APW","AIMS PROPERTY SECURITIES FUND","2004-12-17","Real Estate",56094045
"APX","APPEN LIMITED","2015-01-07","Software & Services",320960526
"APZ","ASPEN GROUP","1991-04-11","Real Estate",300395346
"AQC","AUSTRALIAN PACIFIC COAL LIMITED","1999-12-17","Materials",78144964
"AQD","AUSQUEST LIMITED","2003-11-25","Materials",13202388
"AQI","ALICANTO MINERALS LIMITED","2012-09-19","Materials",24459249
"AQN","AQUIRIAN LIMITED","2021-07-27","Commercial & Professional Services",29600000
"AQS","AQUIS ENTERTAINMENT LIMITED","2011-12-02","Consumer Services",24994042
"AQX","ALICE QUEEN LIMITED","2004-09-09","Materials",5500625
"AQZ","ALLIANCE AVIATION SERVICES LIMITED","2011-12-20","Transportation",491848173
"AR1","AUSTRAL RESOURCES AUSTRALIA LTD","2021-11-03","Materials",80346532
"AR3","AUSTRALIAN RARE EARTHS LIMITED","2021-07-01","Materials",46619359
"AR9","ARCHTIS LIMITED","2018-09-21","Software & Services",34349017
"ARA","ARIADNE AUSTRALIA LIMITED","1982-10-12","Commercial & Professional Services",130474720
"ARB","ARB CORPORATION LIMITED.","1987-06-26","Automobiles & Components",2295208216
"ARC","ARC FUNDS LIMITED","2000-04-14","Diversified Financials",9925196
"ARD","ARGENT MINERALS LIMITED","2008-04-03","Materials",16278875
"ARE","ARGONAUT RESOURCES NL","1986-01-23","Materials",12723743
"ARF","ARENA REIT.","2013-06-13","Real Estate",1384400241
"ARG","ARGO INVESTMENTS LIMITED","1963-03-31","Not Applic",6933902546
"ARL","ARDEA RESOURCES LIMITED","2017-02-09","Materials",181619416
"ARN","ALDORO RESOURCES LIMITED","2018-09-13","Materials",39370561
"ARODB","ASTRO RESOURCES NL","1986-08-14","Materials",0
"ARR","AMERICAN RARE EARTHS LIMITED","2011-02-17","Materials",91528564
"ART","AIRTASKER LIMITED","2021-03-23","Media & Entertainment",170772147
"ARU","ARAFURA RARE EARTHS LTD","2003-11-05","Materials",768713021
"ARV","ARTEMIS RESOURCES LIMITED","2007-03-16","Materials",43133970
"ARX","AROA BIOSURGERY LIMITED","2020-07-24","Pharmaceuticals, Biotechnology & Life Sciences",363287660
"AS2","ASKARI METALS LIMITED","2021-07-07","Materials",24762814
"ASB","AUSTAL LIMITED","1998-12-08","Capital Goods",902480269
"ASG","AUTOSPORTS GROUP LIMITED.","2016-11-16","Retailing",416070000
"ASH","ASHLEY SERVICES GROUP LIMITED","2014-08-21","Commercial & Professional Services",95024097
"ASM","AUSTRALIAN STRATEGIC MATERIALS LIMITED","2020-07-30","Materials",275633606
"ASN","ANSON RESOURCES LIMITED","2010-07-08","Materials",288094030
"ASO","ASTON MINERALS LIMITED","2011-03-04","Materials",80174227
"ASP","ASPERMONT LIMITED.","2000-04-27","Media & Entertainment",55871439
"ASQ","AUSTRALIAN SILICA QUARTZ GROUP LTD","2007-10-22","Materials",16599623
"ASR","ASRA MINERALS LIMITED","1986-06-30","Materials",26356708
"ASW","ADVANCED SHARE REGISTRY LIMITED","2008-06-10","Diversified Financials",37714516
"ASX","ASX LIMITED","1998-10-14","Diversified Financials",13855605744
"AT1","ATOMO DIAGNOSTICS LIMITED","2020-04-16","Health Care Equipment & Services",32540786
"ATA","ATTURRA LIMITED","2021-12-22","Software & Services",202555953
"ATC","ALTECH CHEMICALS LTD","2010-01-27","Materials",128408928
"ATH","ALTERITY THERAPEUTICS LIMITED","2000-03-28","Pharmaceuticals, Biotechnology & Life Sciences",26580603
"ATL","APOLLO TOURISM & LEISURE LTD","2016-11-04","Automobiles & Components","N/A"
"ATM","ANEKA TAMBANG (PERSERO) TBK (PT)","1999-08-09","Materials",4807456594
"ATP","ATLAS PEARLS LTD","1993-12-31","Consumer Durables & Apparel",14333704
"ATR","ASTRON CORPORATION LIMITED","1983-11-11","Materials",83656139
"ATS","AUSTRALIS OIL & GAS LIMITED","2016-07-25","Energy",46664262
"ATU","ATRUM COAL LIMITED","2012-07-24","Materials",9679157
"ATV","ACTIVEPORT GROUP LTD","2021-10-20","Software & Services",28460425
"ATX","AMPLIA THERAPEUTICS LIMITED","2013-12-23","Pharmaceuticals, Biotechnology & Life Sciences",19400554
"AU1","THE AGENCY GROUP AUSTRALIA LTD","2007-12-18","Real Estate",13714451
"AUA","AUDEARA LIMITED","2021-05-18","Consumer Durables & Apparel",9454600
"AUB","AUB GROUP LIMITED","2005-11-16","Insurance",2335201914
"AUC","AUSGOLD LIMITED","2009-12-16","Materials",89296880
"AUE","AURUM RESOURCES LIMITED","2021-11-02","Materials",5100000
"AUH","AUSTCHINA HOLDINGS LIMITED","2003-03-17","Energy",14257829
"AUI","AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED","1974-01-01","Not Applic",1223959241
"AUK","AUMAKE LIMITED.","2011-12-07","Retailing",3857235
"AUN","AURUMIN LIMITED","2020-12-09","Materials",11886175
"AUQ","ALARA RESOURCES LIMITED","2007-05-24","Materials",22978801
"AUR","AURIS MINERALS LIMITED","2001-03-15","Materials",8102641
"AUT","AUTECO MINERALS LTD","2005-09-21","Materials",115798833
"AUZ","AUSTRALIAN MINES LIMITED","2001-09-28","Materials",29062738
"AV1","ADVERITAS LIMITED","2012-12-18","Software & Services",37138572
"AVA","AVA RISK GROUP LIMITED","2015-05-11","Technology Hardware & Equipment",54914146
"AVC","AUCTUS INVESTMENT GROUP LIMITED","2011-08-10","Diversified Financials",68933794
"AVD","AVADA GROUP LIMITED","2021-12-17","Commercial & Professional Services",62278104
"AVE","AVECHO BIOTECHNOLOGY LIMITED","1993-08-09","Pharmaceuticals, Biotechnology & Life Sciences",16540824
"AVG","AUSTRALIAN VINTAGE LTD","1992-03-26","Food, Beverage & Tobacco",162951823
"AVH","AVITA MEDICAL INC.","2020-06-24","Pharmaceuticals, Biotechnology & Life Sciences",267830651
"AVJ","AVJENNINGS LIMITED","1994-01-27","Consumer Durables & Apparel",166554598
"AVL","AUSTRALIAN VANADIUM LIMITED","2007-02-21","Materials",109503902
"AVM","ADVANCE METALS LIMITED","2007-12-20","Materials",5784529
"AVR","ANTERIS TECHNOLOGIES LTD","2004-03-24","Health Care Equipment & Services",305804752
"AVW","AVIRA RESOURCES LTD","2013-01-09","Materials",7468265
"AVZ","AVZ MINERALS LIMITED","2007-09-14","Materials","N/A"
"AW1","AMERICAN WEST METALS LIMITED","2021-12-13","Materials",26254177
"AWC","ALUMINA LIMITED","1961-10-31","Materials",4439572568
"AWJ","AURIC MINING LIMITED","2021-02-12","Materials",8512390
"AWV","ANOVA METALS LIMITED","2011-05-18","Materials",27167601
"AX1","ACCENT GROUP LIMITED","2004-07-07","Retailing",911558931
"AX8","ACCELERATE RESOURCES LIMITED","2018-02-14","Materials",9019804
"AXE","ARCHER MATERIALS LIMITED","2007-08-14","Semiconductors & Semiconductor Equipment",190459913
"AXI","AXIOM PROPERTIES LIMITED","1997-01-31","Real Estate",34617093
"AXP","AXP ENERGY LIMITED","2006-07-20","Energy",29123403
"AYA","ARTRYA LIMITED","2021-11-26","Health Care Equipment & Services",44690276
"AYI","A1 INVESTMENTS & RESOURCES LTD","2007-10-02","Diversified Financials",16421946
"AYM","AUSTRALIA UNITED MINING LIMITED","2011-09-19","Materials",7370310
"AYT","AUSTIN METALS LIMITED","2011-07-06","Materials",8126997
"AZI","ALTAMIN LIMITED","2009-12-24","Materials",39171675
"AZJ","AURIZON HOLDINGS LIMITED","2010-11-22","Transportation",6884232893
"AZL","ARIZONA LITHIUM LIMITED","1971-07-08","Materials",183154343
"AZS","AZURE MINERALS LIMITED","2003-12-16","Materials",84168645
"AZY","ANTIPA MINERALS LIMITED","2011-04-20","Materials",79046899
"B4P","BEFOREPAY GROUP LIMITED","2022-01-17","Diversified Financials",19049536
"BAP","BAPCOR LIMITED","2014-04-24","Retailing",2284246125
"BAS","BASS OIL LIMITED","2004-09-30","Energy",14199615
"BAT","BATTERY MINERALS LIMITED","2012-10-29","Materials",13163591
"BBC","BNK BANKING CORPORATION LIMITED","2012-05-22","Banks",63514882
"BBL","BRISBANE BRONCOS LIMITED","1989-05-12","Media & Entertainment",100001445
"BBN","BABY BUNTING GROUP LIMITED","2015-10-14","Retailing",343784448
"BBT","BLUEBET HOLDINGS LTD","2021-07-02","Consumer Services",81081497
"BBX","BBX MINERALS LIMITED","2005-08-12","Materials",38937718
"BC8","BLACK CAT SYNDICATE LIMITED","2018-01-30","Materials",65344473
"BCA","BLACK CANYON LIMITED","2021-05-05","Materials",12411794
"BCB","BOWEN COKING COAL LIMITED","1995-06-22","Materials",459273119
"BCC","BEAM COMMUNICATIONS HOLDINGS LIMITED","1986-11-06","Technology Hardware & Equipment",22037590
"BCI","BCI MINERALS LIMITED","2006-12-15","Materials",302755352
"BCK","BROCKMAN MINING LIMITED","2011-01-11","Materials",250566268
"BCN","BEACON MINERALS LIMITED","2006-10-20","Materials",101432741
"BCT","BLUECHIIP LIMITED","2011-06-09","Technology Hardware & Equipment",17358350
"BDG","BLACK DRAGON GOLD CORP.","2018-08-29","Materials",7224122
"BDM","BURGUNDY DIAMOND MINES LIMITED","2013-01-04","Materials",76195723
"BDT","BIRDDOG TECHNOLOGY LIMITED","2021-12-20","Technology Hardware & Equipment",31715385
"BDX","BCAL DIAGNOSTICS LIMITED","2021-07-21","Pharmaceuticals, Biotechnology & Life Sciences",14801065
"BEE","BROO LTD","2016-10-14","Food, Beverage & Tobacco","N/A"
"BEL","BENTLEY CAPITAL LIMITED","1986-11-07","Not Applic",4948315
"BEM","BLACKEARTH MINERALS NL","2018-01-19","Materials",24668189
"BEN","BENDIGO AND ADELAIDE BANK LIMITED","1985-12-19","Banks",5158126966
"BET","BETMAKERS TECHNOLOGY GROUP LTD","2015-12-11","Consumer Services",275262631
"BEX","BIKEEXCHANGE LIMITED","2021-02-09","Retailing",14216801
"BEZ","BESRA GOLD INC.","2021-10-08","Materials",16123134
"BFC","BESTON GLOBAL FOOD COMPANY LIMITED","2015-08-28","Food, Beverage & Tobacco",26960133
"BFG","BELL FINANCIAL GROUP LIMITED","2007-12-12","Diversified Financials",323951387
"BFL","BSP FINANCIAL GROUP LIMITED","2021-05-25","Banks",2289377897
"BGA","BEGA CHEESE LIMITED","2011-08-19","Food, Beverage & Tobacco",1021099219
"BGD","BARTON GOLD HOLDINGS LIMITED","2021-06-28","Materials",36059459
"BGE","BRIDGE SAAS LIMITED","2022-10-06","Software & Services",9042936
"BGL","BELLEVUE GOLD LIMITED","2005-12-20","Materials",953249892
"BGP","BRISCOE GROUP AUSTRALASIA LIMITED","2017-07-20","Retailing",1131039577
"BGT","BIO-GENE TECHNOLOGY LTD","2017-11-29","Materials",19473665
"BHD","BENJAMIN HORNIGOLD LIMITED","2017-05-12","Not Applic",5555705
"BHP","BHP GROUP LIMITED","1885-08-13","Materials",222490838820
"BID","BILL IDENTITY LIMITED","2011-01-27","Software & Services",17781002
"BIM","BINDI METALS LIMITED","2022-06-28","Materials",5956500
"BIO","BIOME AUSTRALIA LIMITED","2021-11-30","Household & Personal Products",15992789
"BIR","BIR FINANCIAL LIMITED","2006-07-31","Diversified Financials",9832766
"BIS","BISALLOY STEEL GROUP LIMITED","2003-06-23","Materials",102966622
"BIT","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",25971510
"BITNE","BIOTRON LIMITED","2001-01-24","Pharmaceuticals, Biotechnology & Life Sciences",25971510
"BKG","BOOKTOPIA GROUP LIMITED","2020-12-03","Retailing",28845453
"BKI","BKI INVESTMENT COMPANY LIMITED","2003-12-12","Not Applic",1316070859
"BKL","BLACKMORES LIMITED","1985-05-02","Household & Personal Products",1380843997
"BKT","BLACK ROCK MINING LIMITED","2003-12-10","Materials",157158072
"BKW","BRICKWORKS LIMITED","1962-06-30","Materials",3331113927
"BKY","BERKELEY ENERGIA LIMITED","2003-09-16","Energy",144883932
"BLD","BORAL LIMITED.","2000-02-21","Materials",3342357910
"BLG","BLUGLASS LIMITED","2006-09-22","Semiconductors & Semiconductor Equipment",38913150
"BLU","BLUE ENERGY LIMITED.","1994-10-13","Energy",107346141
"BLX","BEACON LIGHTING GROUP LIMITED","2014-04-15","Retailing",457808882
"BLY","BOART LONGYEAR GROUP LTD","2007-04-05","Materials",651024911
"BLZ","BLAZE MINERALS LIMITED","1996-09-12","Energy",4410099
"BME","BLACK MOUNTAIN ENERGY LTD","2021-12-23","Energy",12750000
"BMG","BMG RESOURCES LIMITED","2004-05-12","Materials",6561858
"BMH","BAUMART HOLDINGS LIMITED","2015-06-19","Capital Goods",17369371
"BML","BOAB METALS LIMITED","2004-07-15","Materials",49885396
"BMM","BALKAN MINING AND MINERALS LIMITED","2021-07-14","Materials",16330119
"BMN","BANNERMAN ENERGY LTD","2005-04-28","Energy",296240092
"BMO","BASTION MINERALS LIMITED","2021-03-16","Materials",6231925
"BMR","BALLYMORE RESOURCES LIMITED","2021-09-03","Materials",22551062
"BMT","BEAMTREE HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",51394644
"BNL","BLUE STAR HELIUM LIMITED","1994-11-24","Energy",50757442
